Название,Название Кратко,ИНН,адрес,lat,lon,Код оквэд,Основной вид деятельности,Ссылка
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОЗРОЖДЕНИЕ 1""",ООО ВОЗРОЖДЕНИЕ 1,3621006515,"397024, Воронежская обл, м.р-н Эртильский, с.п. Щучинское, с Старый Эртиль, ул Центральная, д. 64", 51.805100, 40.490000,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",https://spark-interfax.ru/voronezhskaya-oblast-ertilski-raion/ooo-vozrozhdenie-inn-3621006515-ogrn-1213600002703-bab74067b6f60bf1e053219aa8c0d78d
"КРЕСТЬЯНСКОЕ (ФЕРМЕРСКОЕ) ХОЗЯЙСТВО ""РУБИН""",КФХ РУБИН,1023601076400,"396472, Воронежская обл., Верхнемамонский район, с. Нижний Мамон, ул. Полевая, д. 18", 50.195808, 40.512209,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",https://spark-interfax.ru/voronezhskaya-oblast-verkhnemamonski-raion/kfkh-rubin-inn-3606002033-ogrn-1023601076400-6906d94bb31a226ae0531b9aa8c04bb6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ АГРОФИРМА ""КОРМА""",ООО АГРОФИРМА КОРМА,2103006625,"429350, Чувашская Республика - Чувашия, Батыревский район, с. Батырево, ул. Советская, д. 171", 55.069345, 47.619175,01.5,Смешанное сельское хозяйство,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-batyrevski-raion/ooo-korma-inn-2103006625-ogrn-1052132003879-dcb097cdd6e5496e96e6729d57a08001
"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""НОВОМУРАТСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" КОМСОМОЛЬСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ",МБОУ НОВОМУРАТСКАЯ СОШ,1032132002033,"429146, Чувашская Республика - Чувашия, Комсомольский район, д. Новые Мураты, ул. Школьная, д. 20", 55.187813, 47.316800,85.14,Образование среднее общее,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-komsomolski-raion/mbu-novomuratskaya-sosh-inn-2108002590-ogrn-1032132002033-6906d9b1bdd3226ae0531b9aa8c04bb6
"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЧИЧКАНСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" КОМСОМОЛЬСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ",МБОУ ЧИЧКАНСКАЯ ООШ,1042132003253,"429155, Чувашская Республика - Чувашия, Комсомольский район, д. Чичканы, ул. Молодежная, д. 196", 55.205511, 47.437436,85.13,Образование основное общее,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-komsomolski-raion/mbu-chichkanskaya-oosh-inn-2108006160-ogrn-1042132003253-6906d9b1bde0226ae0531b9aa8c04bb6
"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АЛЕКСАНДРОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" КОМСОМОЛЬСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ",МБОУ АЛЕКСАНДРОВСКАЯ СОШ,1042132001889,"429152, Чувашская Республика - Чувашия, Комсомольский район, д. Александровка, ул. Комсомольская, д. 170", 55.267148, 47.589553,85.14,Образование среднее общее,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-komsomolski-raion/mbu-aleksandrovskaya-sosh-inn-2108006019-ogrn-1042132001889-6906d9b1bdd8226ae0531b9aa8c04bb6
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ""НОВЫЙ ПУТЬ""",СХПК НОВЫЙ ПУТЬ,2102002138,"429261, Чувашская Республика - Чувашия, Аликовский район, с. Чувашская Сорма, ул. Советская, д. 26", 55.822230, 46.831726,01.41,"Разведение молочного крупного рогатого скота, производство сырого молока",https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-alikovski-raion/koop-novy-put-inn-2102002138-ogrn-1022102028816-921fc437a10b4ebbb1099b2ccd3421d6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОФИРМА ""СЛАВА КАРТОФЕЛЮ - ЯЛЬЧИКИ""",ООО АСК - ЯЛЬЧИКИ,2120003864,"429395, Чувашская Республика - Чувашия, Яльчикский район, д. Полевые Пинеры, ул. Николаева, д. 1Б", 55.250122, 47.803259,01.13.3,Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-yalchikski-raion/ooo-ask-yalchiki-inn-2120003864-ogrn-1082132000433-7e562f2aadd445ffb55a9f19020838f0
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ - ПЛЕМЕННОЙ ЗАВОД ""СВОБОДА""",СПК-ПЛЕМЗАВОД СВОБОДА,1022102631210,"429530, Чувашская Республика - Чувашия, Моргаушский район, д. Сятракасы (Сятракасинское С/П), ул. Победы, д. 6", 55.940828, 46.800329,01.41.21,Производство сырого коровьего молока,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-morgaushski-raion/koop-svoboda-inn-2112000443-ogrn-1022102631210-e8f5b8dcd19e44b192bf03d20bdd71cd
"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД ""СКАЗКА"" КОМБИНИРОВАННОГО ВИДА Г. ЯДРИНА ЯДРИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ",МБДОУ ДЕТСКИЙ САД СКАЗКА Г. ЯДРИНА,1022102629427,"429060, Чувашская Республика - Чувашия, м.о. Ядринский, г Ядрин, ул Советская, двлд. 33", 55.932352, 46.204209,85.11,Образование дошкольное,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-yadrinski-raion/mbu-detski-sad-skazka-g-yadrina-inn-2119004990-ogrn-1022102629427-6906d9b1c54a226ae0531b9aa8c04bb6
"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""КОМСОМОЛЬСКАЯ ДЕТСКАЯ ШКОЛА ИСКУССТВ"" КОМСОМОЛЬСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ",МБУ ДО КОМСОМОЛЬСКАЯ ДШИ,1062132000732,"429140, Чувашская Республика - Чувашия, Комсомольский район, с. Комсомольское, ул. Канашская, д. 31", 55.262303, 47.539319,85.41.2,Образование в области культуры,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-komsomolski-raion/mbu-komsomolskaya-dshi-inn-2108006770-ogrn-1062132000732-6906d9b1cee9226ae0531b9aa8c04bb6
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ""ТРУД""",СХПК ТРУД,2103000976,"429361, Чувашская Республика - Чувашия, Батыревский район, с. Норваш-Шигали", 55.031093, 47.455481,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-batyrevski-raion/koop-trud-inn-2103000976-ogrn-1022101832213-9de71b88e68c49dda2785dbd1d43cdb1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОФИРМА ТАЯБИНКА""",ООО АГРОФИРМА ТАЯБИНКА,2109902071,"429620, Чувашская Республика - Чувашия, Красноармейский район, с. Красноармейское, ул. Слукина А.И., д. 1А", 55.767925, 47.168494,01.50,Смешанное сельское хозяйство,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-krasnoarmeiski-raion/ooo-agrofirma-tayabinka-inn-2109902071-ogrn-1042137000883-dd6f588d85a149f9a6ee8c081007251b
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ""НИВА""",СХПК НИВА,2109000147,"429631, Чувашская Республика - Чувашия, Красноармейский район, с. Исаково, ул. Садовая, д. 21", 55.811782, 47.163309,01.1,Выращивание однолетних культур,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-krasnoarmeiski-raion/koop-niva-inn-2109000147-ogrn-1022102829088-ac15fc706cb0478395c41d075406a0a0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОСТРОЙТРАНС""",ООО АГРОСТРОЙТРАНС,2114000199,"428009, Чувашская Республика - Чувашия, г. Чебоксары, ул. Э.М.Юрьева, д. 3 пом. 3", 56.151674, 47.175800,41.2,Строительство жилых и нежилых зданий,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/ooo-agrostroitrans-inn-2114000199-ogrn-1112137000359-617889ac7bcb7e1ce0531b9aa8c027ab
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЯМАНЧУРИНО""",ООО ЯМАНЧУРИНО,2120003208,"429393, Чувашская Республика - Чувашия, Яльчикский район, д. Яманчурино, ул. Школьная, д. 25", 54.966900, 47.957382,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-yalchikski-raion/ooo-yamanchurino-inn-2120003208-ogrn-1062132014064-cfea96322a7e4c8ea2e0bc9634bc3ff2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ АГРОФИРМА ""РЫНДИНО""",ООО АГРОФИРМА РЫНДИНО,2113003912,"429022, Чувашская Республика - Чувашия, Порецкий район, с. Рындино, ул. Кооперативная, д. 9", 55.079782, 46.310521,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-poretski-raion/ooo-ryndino-inn-2113003912-ogrn-1082138000328-05ea03c8184149159f91deb94a2e5b60
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕЧТА""",ООО МЕЧТА,2109902650,"429635, Чувашская Республика - Чувашия, Красноармейский район, с. Большая Шатьма, пл. Центральная, д. 12", 55.819673, 47.009680,47.1,Торговля розничная в неспециализированных магазинах,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-krasnoarmeiski-raion/ooo-mechta-inn-2109902650-ogrn-1062137018470-996f5c1f22cb46379fe3f4e275e4cf4d
